lag,aic,bic,n_obs,target,network_id
2,8329.789516413606,8396.21314864435,3098,gold_spot_STC,within_gold
3,8244.332127015108,8340.94315389468,3097,gold_spot_STC,within_gold
4,8177.002766346493,8303.797957275396,3096,gold_spot_STC,within_gold
5,8122.198941830722,8279.175064643809,3095,gold_spot_STC,within_gold
1,2459.3330216583236,2495.56603020505,3099,gold_futures_MTC,within_gold
2,1792.8279164737432,1859.2515487044882,3098,gold_futures_MTC,within_gold
3,1784.2199039263078,1880.830930805879,3097,gold_futures_MTC,within_gold
4,1430.1769501343078,1556.9721410632098,3096,gold_futures_MTC,within_gold
5,964.8286895837673,1121.8048123968533,3095,gold_futures_MTC,within_gold
1,154.43369379630803,190.66670234303453,3099,gold_spot_MTC,within_gold
2,-643.2956849852098,-576.8720527544649,3098,gold_spot_MTC,within_gold
3,-1618.4644498800835,-1521.8534230005123,3097,gold_spot_MTC,within_gold
4,-1881.6999265934219,-1754.9047356645199,3096,gold_spot_MTC,within_gold
5,-1886.8578910322458,-1729.8817682191598,3095,gold_spot_MTC,within_gold
1,-6399.827919358697,-6363.59491081197,3099,gold_futures_LTC,within_gold
2,-6612.2531675607715,-6545.829535330026,3098,gold_futures_LTC,within_gold
3,-7249.413923562486,-7152.802896682915,3097,gold_futures_LTC,within_gold
