network_id,network_type,network_scale,network_metal,target,source,lag,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,1,5,0.0017880608126578607,0.17880608126578607
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,2,5,0.006942989889939762,0.6942989889939761
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,3,5,0.005868872736043441,0.5868872736043441
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,4,5,0.0019492858296714284,0.19492858296714283
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,5,5,0.0028633512513346377,0.28633512513346376
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_spot_STC,1,5,0.0005846220475439882,0.05846220475439882
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_spot_STC,2,5,0.0027297435326271336,0.27297435326271335
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_spot_STC,3,5,0.0020535449734408527,0.20535449734408526
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_spot_STC,4,5,0.0007315479436849311,0.0731547943684931
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_spot_STC,5,5,0.0013889466431822282,0.13889466431822284
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_futures_STC,1,5,0.023736956394975837,2.373695639497584
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_futures_STC,2,5,0.030727515118999627,3.0727515118999627
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_futures_STC,3,5,0.00914417360104605,0.914417360104605
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_futures_STC,4,5,0.0018089892090062377,0.18089892090062376
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_futures_STC,5,5,0.0014373002841330158,0.14373002841330157
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,1,5,0.006626342761855458,0.6626342761855458
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,2,5,0.006297168494713071,0.6297168494713071
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,3,5,0.004265916969722799,0.42659169697227994
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,4,5,0.0014436955987268613,0.14436955987268613
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,silver_futures_STC,5,5,0.006667232600579836,0.6667232600579837
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,1,5,0.0015224405609085131,0.15224405609085132
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,2,5,0.0029750233181013268,0.2975023318101327
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,3,5,0.004752493435358568,0.4752493435358568
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,4,5,0.0040124523858050005,0.40124523858050004
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_futures_STC,5,5,0.007604113784266347,0.7604113784266348
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,1,5,0.0009113746995549388,0.09113746995549388
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,2,5,0.0018383626102311424,0.18383626102311423
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,3,5,0.002466144659322673,0.24661446593226727
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,4,5,0.002047834059339491,0.2047834059339491
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_futures_STC,5,5,0.0016298559438090974,0.16298559438090973
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,1,5,0.005493875351246988,0.5493875351246987
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,2,5,0.010524495066524623,1.0524495066524622
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,3,5,0.0034484846230660787,0.3448484623066079
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,4,5,0.005478254421725145,0.5478254421725145
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,gold_spot_STC,5,5,0.0028145397599848676,0.28145397599848676
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,1,5,0.0011951793225718126,0.11951793225718126
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,2,5,0.004551325092427802,0.45513250924278015
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,3,5,0.00807390732465988,0.807390732465988
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,4,5,0.0020821092823612867,0.20821092823612866
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,platinum_spot_STC,5,5,0.004157104501508916,0.4157104501508916
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,1,5,0.0006398467168415234,0.06398467168415234
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,2,5,0.0031324183952134333,0.3132418395213433
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,3,5,0.0038784496831803165,0.38784496831803167
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,4,5,0.0013683232049153122,0.1368323204915312
same_scale_STC,same_scale_cross_metal,STC,,silver_spot_STC,palladium_spot_STC,5,5,0.000981803477667207,0.0981803477667207
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,1,5,0.01865711758703301,1.865711758703301
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,2,5,0.015643525965217734,1.5643525965217735
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,3,5,0.004260462591769611,0.4260462591769611
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,4,5,0.0007254961035567982,0.07254961035567982
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,gold_futures_STC,5,5,0.0008369401367190221,0.08369401367190221
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_futures_STC,1,5,0.0021038494975158238,0.21038494975158237
same_scale_STC,same_scale_cross_metal,STC,,platinum_spot_STC,silver_futures_STC,2,5,0.0028729415363895625,0.2872941536389563
