date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,strict_r2g_NPDC,pca_NPDC,strict_minus_pca_NPDC
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_spot_MTC,2.759102178492968,2.935938351557012,-0.1768361730640442,1.0943489122303571,-1.2711850852944013
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_spot_MTC,3.390639529973153,3.6675830081273038,-0.27694347815415066,0.8609213099162751,-1.1378647880704258
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_spot_MTC,7.767462112380421,8.066826123807706,-0.2993640114272855,0.2300577256875519,-0.5294217371148374
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,palladium_spot_MTC,58.564155169234475,57.9965118344431,0.5676433347913772,1.3347148330208114,-0.7670714982294342
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,gold_futures_MTC,27.177379609732995,24.90311174233583,2.274267867397164,2.256324582945436,0.01794328445172777
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_futures_MTC,3.32942335516774,2.788371336663427,0.5410520185043128,-1.7743921953404338,2.3154442138447466
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_futures_MTC,6.242903929908616,5.775447010262303,0.4674569196463132,2.963528795965084,-2.4960718763187706
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_futures_MTC,2.935938351557012,2.759102178492968,0.1768361730640442,-1.0943489122303571,1.2711850852944013
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_spot_MTC,15.651683027072524,16.034489109814466,-0.3828060827419417,0.8422377841438968,-1.2250438668858386
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_spot_MTC,6.223594652158203,5.80790553665078,0.4156891155074236,3.262312348761619,-2.846623233254195
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_spot_MTC,2.403187967800522,2.151600771527827,0.25158719627269477,-0.4597514018690782,0.711338598141773
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_futures_MTC,7.58118286444429,7.00605143754314,0.5751314269011498,-2.2055246256914915,2.7806560525926414
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,silver_futures_MTC,3.0215289471955917,2.6310211886133903,0.39050775858220144,-0.6312250172094965,1.021732775791698
