target,high_state,model_family,model,feature_set,auc_mean,auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,accuracy_mean,accuracy_std,positive_rate_test_mean,positive_rate_test_std,positive_rate_pred_mean,positive_rate_pred_std
tci_within_platinum,high_q90,AR,AR_Logistic,target_lags,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tci_within_platinum,high_q90,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,,,,,0.9922879177377891,0.013357718310299829,0.0,0.0,0.9922879177377891,0.013357718310299829,0.0,0.0,0.007712082262210797,0.013357718310299825
tci_within_platinum,high_q90,ARX,ARX_Logistic,arx_external_plus_target_lags,,,,,0.676949443016281,0.5462367043067325,0.0,0.0,0.676949443016281,0.5462367043067325,0.0,0.0,0.32305055698371893,0.5462367043067325
tci_within_platinum,high_q90,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tci_within_platinum,high_q90,Exog,Exog_ExtraTreesClassifier,external_only,,,,,0.6975149957155099,0.5239193959484264,0.0,0.0,0.6975149957155099,0.5239193959484264,0.0,0.0,0.30248500428449016,0.5239193959484264
tci_within_platinum,high_q90,Exog,Exog_Logistic,external_only,,,,,0.662382176520994,0.5430212233823319,0.0,0.0,0.662382176520994,0.5430212233823319,0.0,0.0,0.337617823479006,0.5430212233823319
tci_within_platinum,high_q90,Exog,Exog_RandomForestClassifier,external_only,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tci_within_platinum,high_q90,Prevalence,Prevalence,prevalence,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tci_within_silver,high_q75,AR,AR_Logistic,target_lags,0.9978766805345239,0.0004948809926921756,0.9909241794022323,0.00838051048757682,0.9671217224032667,0.019773476469668476,0.9526920339893211,0.0119824917853558,0.9734537384922989,0.015073419234935912,0.3125920066794103,0.25535280806483707,0.3340012743611715,0.2752170103350903
tci_within_silver,high_q75,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.8090606955662061,0.25525761707354994,0.6697438136763844,0.4686642007548039,0.6441148460050116,0.18079375552594468,0.5493540903540904,0.25540760848026217,0.5683255333640937,0.21590688280292253,0.3125920066794103,0.25535280806483707,0.7357018873728386,0.28372248902858666
tci_within_silver,high_q75,ARX,ARX_Logistic,arx_external_plus_target_lags,0.7027592232837737,0.28730570984730397,0.6293919977781155,0.461053678473199,0.6249712269153053,0.2175235389823245,0.5701225717751228,0.4127617254952577,0.7755366598554257,0.16635762108306518,0.3125920066794103,0.25535280806483707,0.41889130578076594,0.4743947894842695
tci_within_silver,high_q75,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.95815897166324,0.04647702235848469,0.8656764214317826,0.18792525605008564,0.8747231768770449,0.07383780133440229,0.8374335405869883,0.11049898596553046,0.9117724606156483,0.05453734723350675,0.3125920066794103,0.25535280806483707,0.3734163865269264,0.3289219182182272
tci_within_silver,high_q75,Exog,Exog_ExtraTreesClassifier,external_only,0.4322459181007174,0.2737349236483295,0.3520129094741056,0.4003984512769323,0.43005277222698,0.14793233878334905,0.39233244183213856,0.33983033257728845,0.40929844220332656,0.17268694925785028,0.3125920066794103,0.25535280806483707,0.8159470920396369,0.17245076301632084
tci_within_silver,high_q75,Exog,Exog_Logistic,external_only,0.5326971055012142,0.37960168228071506,0.4986869162712006,0.369455066578758,0.48206120943952807,0.14648432427220864,0.37901450401450404,0.37662573418586565,0.6727989805110628,0.14884999610881355,0.3125920066794103,0.25535280806483707,0.44982971898138996,0.49284705030491804
tci_within_silver,high_q75,Exog,Exog_RandomForestClassifier,external_only,0.5308319968023391,0.30217597415466885,0.43114791444502715,0.32773004181458454,0.4712490087861198,0.19832473095869016,0.42123074996102255,0.3375170970273968,0.48707621998110434,0.1839387999096711,0.3125920066794103,0.25535280806483707,0.7296223057148506,0.24265450145623357
tci_within_silver,high_q75,Prevalence,Prevalence,prevalence,0.5,0.0,0.3125920066794103,0.25535280806483707,0.5,0.0,0.0,0.0,0.6874079933205897,0.255352808064837,0.3125920066794103,0.25535280806483707,0.0,0.0
tci_within_silver,high_q90,AR,AR_Logistic,target_lags,0.9977555923541659,0.0012984569280241282,0.9196556063121807,0.06914110658048991,0.9190173316980882,0.06210989346476473,0.35096069099242017,0.39212416671050454,0.8801331487706809,0.10418544819171151,0.024850042844901457,0.02245988418522906,0.14471689407422053,0.1134210934091378
tci_within_silver,high_q90,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.9460570400830821,0.06063301519815587,0.47850902110562976,0.33267311264034877,0.6670852228972363,0.16927687554897797,0.040332147093712925,0.06985732794465221,0.7216487596950322,0.3154066439673338,0.024850042844901457,0.02245988418522906,0.2826357304506405,0.35205895039500057
tci_within_silver,high_q90,ARX,ARX_Logistic,arx_external_plus_target_lags,0.7385892150990627,0.24058585833449347,0.12198200725333112,0.10222561463260157,0.5991521918941274,0.1479669418792692,0.029437229437229432,0.05098677701934357,0.6120229385010876,0.4565070283181209,0.024850042844901457,0.02245988418522906,0.3922615516445851,0.49325056813507834
tci_within_silver,high_q90,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9610147943835702,0.050213624988376775,0.7132676242025844,0.30564951390162226,0.783857182244279,0.2477277414732728,0.10119047619047618,0.17526704600399354,0.9083492628479776,0.09449347108534499,0.024850042844901457,0.02245988418522906,0.09593522729769516,0.13025127016198343
tci_within_silver,high_q90,Exog,Exog_ExtraTreesClassifier,external_only,0.5619450847850049,0.408958915479669,0.09585769974811305,0.09871078482645765,0.38406135021819116,0.13205618096119634,0.027983539094650203,0.04846891148752413,0.3605475358688726,0.388094104714218,0.024850042844901457,0.02245988418522906,0.6437369542768,0.4232452335360369
tci_within_silver,high_q90,Exog,Exog_Logistic,external_only,0.6334449455319049,0.22203999032026953,0.05616934305548754,0.02040638150073312,0.7204657596759932,0.18880806258874308,0.08284732582847325,0.08219962318919129,0.51857710983675,0.4122932031982769,0.024850042844901457,0.02245988418522906,0.5062729330081516,0.4310940211109359
tci_within_silver,high_q90,Exog,Exog_RandomForestClassifier,external_only,0.4712020814144089,0.4842894369127944,0.06543532626241479,0.05971248277946285,0.5163220292252549,0.02376704554483633,0.028192371475953566,0.04883061978220716,0.5222419967921254,0.4579568732049122,0.024850042844901457,0.02245988418522906,0.4820424933535474,0.4953562398674257
tci_within_silver,high_q90,Prevalence,Prevalence,prevalence,0.5,0.0,0.037275064267352186,0.009088776107796242,0.6666666666666666,0.2886751345948129,0.0,0.0,0.9751499571550987,0.02245988418522905,0.024850042844901457,0.02245988418522906,0.0,0.0
