feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,target_type,test_end,test_start,test_std,train_end,train_start
arx_external_plus_target_lags,3,2.527041691974941,ARX_RandomForest,ARX,390,2205,0.5402370685813304,2.9426558744250984,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,4.50314154304035,Exog_ExtraTrees,Exog,390,2205,-0.2532374728843556,4.858354339669125,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,3.428673907229076,ARX_ExtraTrees,ARX,390,2205,0.25400921229974105,3.7483422018823433,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
mean_baseline,1,1.9280159083999164,Mean,Mean,386,1416,-0.008619020659017984,2.7597333570454983,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
target_lags,1,0.09233565059011566,AR_Ridge,AR,386,1416,0.9975240162748914,0.1367342896781636,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
external_only,1,3.77808517546953,Exog_Ridge,Exog,386,1416,-2.6286846193197273,5.234535602211229,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.21445536724154876,ARX_Ridge,ARX,386,1416,0.9904114018545795,0.26907980541786386,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
external_only,1,3.576025538266908,Exog_ElasticNet,Exog,386,1416,-2.124953024906968,4.857639626326063,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
arx_external_plus_target_lags,1,0.12067718090289922,ARX_ElasticNet,ARX,386,1416,0.9963181493402155,0.16673878422818464,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
external_only,1,1.8833288171965823,Exog_RandomForest,Exog,386,1416,0.028277463646119272,2.708785921240064,tci_same_scale_MTC,delta20,2022-03-28,2020-03-19,2.7479165897281246,2020-03-18,2013-05-06
