accuracy,auc,average_precision,balanced_accuracy,f1,feature_set,fold,high_state,model,model_family,n_test,n_train,positive_rate_pred,positive_rate_test,target,test_end,test_start,train_end,train_start
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q90,ARX_RandomForestClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q90,ARX_ExtraTreesClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q90,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,target_lags,3,high_q90,AR_Logistic,AR,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9051282051282051,,,0.9051282051282051,0.0,external_only,3,high_q90,Exog_Logistic,Exog,390,2205,0.09487179487179487,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q90,Exog_RandomForestClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q90,Exog_ExtraTreesClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8974358974358975,,,0.8974358974358975,0.0,arx_external_plus_target_lags,3,high_q90,ARX_Logistic,ARX,390,2205,0.10256410256410256,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_ExtraTreesClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.6143958868894601,0.5,0.3856041131105398,0.5,0.0,prevalence,1,high_q75,Prevalence,Prevalence,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.9897172236503856,0.9998326359832636,0.9997341927066523,0.9916317991631799,0.9868421052631579,target_lags,1,high_q75,AR_Logistic,AR,389,1427,0.39588688946015427,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.38303341902313626,0.29403068340306837,0.3095644068200628,0.42343096234309624,0.42857142857142855,external_only,1,high_q75,Exog_Logistic,Exog,389,1427,0.6940874035989717,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.6876011157601115,0.6956425610790856,0.5,0.0,external_only,1,high_q75,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.7316317991631799,0.7823965852798134,0.5,0.0,external_only,1,high_q75,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.5244215938303342,0.7999163179916318,0.6605391546662996,0.6129707112970711,0.6185567010309279,arx_external_plus_target_lags,1,high_q75,ARX_Logistic,ARX,389,1427,0.8611825192802056,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.9833472803347281,0.9816428387929639,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.9801813110181311,0.9704021153526551,0.5,0.0,arx_external_plus_target_lags,1,high_q75,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.3856041131105398,tci_within_gold,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.6143958868894601,0.5,0.3856041131105398,0.5,0.0,prevalence,2,high_q75,Prevalence,Prevalence,389,1816,0.0,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.9691516709511568,0.9998884239888424,0.9998230935280035,0.9748953974895398,0.9615384615384615,target_lags,2,high_q75,AR_Logistic,AR,389,1816,0.41645244215938304,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.42159383033419023,0.47238493723849373,0.4748556837065119,0.38778242677824265,0.24242424242424243,external_only,2,high_q75,Exog_Logistic,Exog,389,1816,0.37789203084832906,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.42159383033419023,0.47885634588563464,0.4684486238048152,0.38778242677824265,0.24242424242424243,external_only,2,high_q75,Exog_RandomForestClassifier,Exog,389,1816,0.37789203084832906,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6580976863753213,0.5374337517433752,0.5004466287229846,0.5665969316596932,0.27322404371584696,external_only,2,high_q75,Exog_ExtraTreesClassifier,Exog,389,1816,0.08483290488431877,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.5398457583547558,0.8247140864714086,0.758193268938161,0.6255230125523012,0.6263048016701461,arx_external_plus_target_lags,2,high_q75,ARX_Logistic,ARX,389,1816,0.8457583547557841,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.9537275064267352,0.9927475592747559,0.9837469649954718,0.9623430962343096,0.9433962264150945,arx_external_plus_target_lags,2,high_q75,ARX_RandomForestClassifier,ARX,389,1816,0.4318766066838046,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7994858611825193,0.9221338912133892,0.8617422482983377,0.7710320781032078,0.7132352941176471,arx_external_plus_target_lags,2,high_q75,ARX_ExtraTreesClassifier,ARX,389,1816,0.31362467866323906,0.3856041131105398,tci_within_gold,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.5461538461538461,0.5,0.45384615384615384,0.5,0.0,prevalence,3,high_q75,Prevalence,Prevalence,390,2205,0.0,0.45384615384615384,tci_within_gold,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9358974358974359,0.9999204265138856,0.9999042400382823,0.9413145539906103,0.9340369393139842,target_lags,3,high_q75,AR_Logistic,AR,390,2205,0.517948717948718,0.45384615384615384,tci_within_gold,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.5641025641025641,0.7128192886130342,0.7430267386854605,0.5818413304686878,0.6171171171171171,external_only,3,high_q75,Exog_Logistic,Exog,390,2205,0.6846153846153846,0.45384615384615384,tci_within_gold,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.7461538461538462,0.8432932813453224,0.7999962276737215,0.7298878013845786,0.664406779661017,external_only,3,high_q75,Exog_RandomForestClassifier,Exog,390,2205,0.30256410256410254,0.45384615384615384,tci_within_gold,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.5564102564102564,0.8218084400944272,0.8245842732050364,0.5848253361979788,0.6462167689161554,external_only,3,high_q75,Exog_ExtraTreesClassifier,Exog,390,2205,0.8,0.45384615384615384,tci_within_gold,2026-03-31,2024-03-13,2024-03-12,2013-04-08
