analysis_type,base_score,fold,group,high_state,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,RISK_STRESS,high_q75,,,external_only,RandomForestClassifierPermutation,15,,,,tci_same_scale_MTC
classification,,3,USD,high_q75,,,external_only,RandomForestClassifierPermutation,10,,,,tci_same_scale_MTC
classification,,3,CFTC_GOLD,high_q75,13.845743022767627,13.845743022767627,arx_external_plus_target_lags,LogisticCoefficient,35,,,1.9681884866760178,tci_same_scale_MTC
classification,,3,CFTC_PALLADIUM,high_q75,12.581110552428655,12.581110552428655,arx_external_plus_target_lags,LogisticCoefficient,35,,,3.31230138719116,tci_same_scale_MTC
classification,,3,CFTC_PLATINUM,high_q75,12.248097605244709,12.248097605244709,arx_external_plus_target_lags,LogisticCoefficient,35,,,-0.22319465141287714,tci_same_scale_MTC
classification,,3,CFTC_SILVER,high_q75,11.518964180172352,11.518964180172352,arx_external_plus_target_lags,LogisticCoefficient,35,,,-0.5906437096875026,tci_same_scale_MTC
classification,,3,GPR,high_q75,6.431670007696099,6.431670007696099,arx_external_plus_target_lags,LogisticCoefficient,25,,,-0.32423774890682644,tci_same_scale_MTC
classification,,3,INFLATION_GROWTH,high_q75,5.078031388244263,5.078031388244263,arx_external_plus_target_lags,LogisticCoefficient,15,,,-3.8284302541518844,tci_same_scale_MTC
classification,,3,OIL,high_q75,1.9037518165983527,1.9037518165983527,arx_external_plus_target_lags,LogisticCoefficient,10,,,0.5438453356989501,tci_same_scale_MTC
classification,,3,RATE,high_q75,4.593998072269658,4.593998072269658,arx_external_plus_target_lags,LogisticCoefficient,20,,,2.9270871964104987,tci_same_scale_MTC
classification,,3,REL_GOLD_PLATINUM,high_q75,3.534136426843436,3.534136426843436,arx_external_plus_target_lags,LogisticCoefficient,20,,,0.8018060612672426,tci_same_scale_MTC
classification,,3,REL_GOLD_SILVER,high_q75,5.58365916783268,5.58365916783268,arx_external_plus_target_lags,LogisticCoefficient,20,,,-4.296839088698644,tci_same_scale_MTC
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,2.8155381202095375,2.8155381202095375,arx_external_plus_target_lags,LogisticCoefficient,20,,,-1.457664070090557,tci_same_scale_MTC
classification,,3,RISK_STRESS,high_q75,4.987488296001276,4.987488296001276,arx_external_plus_target_lags,LogisticCoefficient,15,,,1.503552249435331,tci_same_scale_MTC
classification,,3,TCI_AR,high_q75,8.151465401456095,8.151465401456095,arx_external_plus_target_lags,LogisticCoefficient,5,,,8.151465401456095,tci_same_scale_MTC
classification,,3,USD,high_q75,2.0301187746952736,2.0301187746952736,arx_external_plus_target_lags,LogisticCoefficient,10,,,-1.0891221672838285,tci_same_scale_MTC
